"company_id","company_name","email_1","email_2","default_discount","is_personal_contact","can_be_contacted","note","is_active","contact_person_firstname","contact_person_lastname"
11,Green LLC,dphelipa@samsung.com,dphelipa@who.int,27.00,true,true,Curabitur in libero ut massa volutpat convallis.,true,Doralynne,Phelip
43,Miller-Frami,lgrierson16@163.com,lgrierson16@fema.gov,,false,false,Suspendisse potenti.,false,Lucilia,Grierson
55,Halvorson LLC,rbowdler1i@unesco.org,rbowdler1i@archive.org,18.00,true,false,Nulla justo.,false,Rayna,Bowdler
4,Lesch and Sons,wwardington3@weather.com,,,false,true,Duis mattis egestas metus.,true,Wilfrid,Wardington
6,Hermiston-Hahn,owoollacott5@ezinearticles.com,,18.00,false,true,Aliquam quis turpis eget elit sodales scelerisque.,true,Oswald,Woollacott
7,"Nicolas, Homenick and Rowe",nbrislen6@patch.com,,,true,true,Donec posuere metus vitae ipsum.,true,Neda,Brislen
8,"Corkery, Kshlerin and Strosin",korganer7@ihg.com,,12.00,true,true,Duis mattis egestas metus.,true,Korry,Organer
10,"Franecki, Hand and Hickle",nleuren9@ovh.net,,2.00,true,true,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",true,Niccolo,Leuren
12,McGlynn-Breitenberg,lmavinb@theatlantic.com,,,true,false,Duis ac nibh.,false,Lotta,Mavin
14,Konelski and Sons,sneisingd@g.co,,,true,false,In blandit ultrices enim.,false,Sarajane,Neising
16,Effertzer Inc,laleshintsevf@posterous.com,,,false,false,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",false,Lorant,Aleshintsev
15,Cormier and Sons,tthornewelle@mail.ru,,,true,true,In eleifend quam a odio.,true,Trey,Thornewell
18,Goldner-Purdy,lloveitth@dagondesign.com,,11.00,false,true,Duis at velit eu est congue elementum.,true,Lyndsay,Loveitt
21,"Mills, Schamberger and McKenzie",swainscoatk@paginegialle.it,,12.00,false,false,Morbi porttitor lorem id ligula.,false,Stanly,Wainscoat
20,Schumm and Sons,cgueinnj@ibm.com,,27.00,false,true,Sed accumsan felis.,true,Candie,Gueinn
25,Rosenbaum and Sons,jcoppingo@slideshare.net,,22.00,true,false,Aenean fermentum.,false,Joseito,Copping
22,"Huel, Block and Schroeder",jholdl@networkadvertising.org,,7.00,false,true,Vivamus vestibulum sagittis sapien.,true,Jeanette,Hold
23,Jones-Nitzsche,cluckinm@statcounter.com,,,false,true,Duis bibendum.,true,Christie,Luckin
30,Rath-Okuneva,cshielt@ihg.com,,,false,true,In hac habitasse platea dictumst.,true,Cece,Shiel
29,"Block, Crona and Bednar",klemmertzs@themeforest.net,,,false,false,Maecenas rhoncus aliquam lacus.,false,Kerr,Lemmertz
31,"King, Kris and Kunde",ewhittleseau@angelfire.com,,26.00,true,true,Nam dui.,true,Erroll,Whittlesea
34,"Ziemann, Mertz and Braun",lsimcoex@imdb.com,,,false,true,In congue.,true,Lemar,Simcoe
50,Greenholt-Stamm,bmarquand1d@mail.ru,,,true,true,Phasellus in felis.,true,Brit,Marquand
65,"Hegmann, Cummerata and Daniel",wwoodfield1s@businessweek.com,wwoodfield1s@newsvine.com,,true,true,Etiam justo.,true,Wolfgang,Woodfield
90,"Reilly, Haley and Heathcote",imeran2h@trellian.com,imeran2h@gmpg.org,,false,true,Nullam molestie nibh in lectus.,true,Izak,Meran
83,Runte Group,jcharlton2a@aboutads.info,jcharlton2a@lulu.com,,false,false,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",false,Jerrylee,Charlton
93,"Miller, Schneider and Halvorson",amcbayne2k@sitemeter.com,amcbayne2k@cam.ac.uk,,true,false,In congue.,false,Axe,McBayne
32,"Steuber, Predovic and Hilll",aperfectv@oaic.gov.au,aperfectv@msu.edu,,false,true,Phasellus sit amet erat.,true,Armstrong,Perfect
36,Blick-Kassulke,tpeskettz@slashdot.org,,,false,false,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",false,Tallia,Peskett
37,"Nader, Ledner and Graham",akedslie10@slashdot.org,,,true,false,Curabitur convallis.,false,Adriano,Kedslie
39,Kuhic-Lind,ybarsam12@yahoo.com,,22.00,true,false,In sagittis dui vel nisl.,false,Yancy,Barsam
35,"McDermott, Pfannerstill and Kulas",dfalky@github.io,,,true,true,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",true,Dasha,Falk
38,Reichel-Goyette,dbeccera11@bluehost.com,,,false,true,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",true,Dona,Beccera
